ID,date,timeperiod,purpose,origin_type,access_mode,access_walk_dist,dest_type,egress_mode,egress_walk_dist,fare_type_clean,orca_emp_clean,fare_cat_clean,oneway_route_clean,oneway_all_clean,firsttimetransit,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_99,ethnicity_98,language_1,language_2,language_3,language_4,language_5,language_6,language_7,language_8,language_9,language_99,hhsize_clean,income_clean
LE24738,"Monday, October 26, 2015",3,2,2,2,#NULL!,99,2,#NULL!,1,1,3,#NULL!,#NULL!,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11
LE24739,"Monday, October 26, 2015",3,3,99,4,#NULL!,4,1,#NULL!,5,2,1,15,#NULL!,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
LE24740,"Monday, October 26, 2015",3,2,3,1,#NULL!,2,1,4.00,3,2,5,1,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5
LE24742,"Monday, October 26, 2015",3,2,3,1,#NULL!,2,1,15.00,1,1,1,#NULL!,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11
LE24743,"Monday, October 26, 2015",3,2,3,1,#NULL!,2,1,#NULL!,1,#NULL!,1,1,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5
LE24744,"Monday, October 26, 2015",3,3,3,#NULL!,#NULL!,1,1,2.00,9,#NULL!,1,1,#NULL!,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,#NULL!
LE24745,"Monday, October 26, 2015",3,2,3,1,2.00,2,1,2.00,1,1,1,3,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8
LE24746,"Monday, October 26, 2015",3,3,3,1,#NULL!,1,1,#NULL!,7,3,1,#NULL!,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,11
LE24866,"Monday, October 26, 2015",3,1,1,1,4.00,2,1,2.00,1,1,1,50,#NULL!,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,11
LE24874,"Monday, October 26, 2015",3,3,1,1,3.00,99,3,#NULL!,3,2,#NULL!,1,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
LE24875,"Monday, October 26, 2015",3,3,99,3,#NULL!,1,1,#NULL!,1,1,1,24,#NULL!,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,#NULL!
LE24878,"Monday, October 26, 2015",3,1,2,2,#NULL!,1,2,#NULL!,3,#NULL!,1,#NULL!,#NULL!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
LE24879,"Monday, October 26, 2015",3,1,1,1,10.00,2,1,#NULL!,1,1,1,42,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10
LE24880,"Monday, October 26, 2015",3,1,1,1,9.00,2,99,#NULL!,3,2,#NULL!,12,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1
LE24881,"Monday, October 26, 2015",3,3,1,2,#NULL!,3,1,3.00,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11
LE24882,"Monday, October 26, 2015",3,1,2,99,#NULL!,1,1,#NULL!,1,#NULL!,1,30,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,#NULL!
LE24885,"Monday, October 26, 2015",3,3,1,1,3.00,1,4,#NULL!,9,#NULL!,1,1,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,11
LE24886,"Monday, October 26, 2015",3,1,2,3,#NULL!,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,7
LE24903,"Monday, October 26, 2015",3,3,5,1,#NULL!,3,1,#NULL!,2,2,3,2,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8
LE24906,"Monday, October 26, 2015",3,3,99,1,#NULL!,3,1,#NULL!,9,#NULL!,1,2,#NULL!,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,11
LE24908,"Monday, October 26, 2015",3,3,1,1,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,#NULL!,#NULL!
LE24910,"Monday, October 26, 2015",3,1,1,1,1.00,2,3,#NULL!,1,1,1,10,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,10
LE24912,"Monday, October 26, 2015",3,1,1,1,8.00,2,1,1.00,1,2,1,30,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
LE24914,"Monday, October 26, 2015",3,1,1,1,2.00,2,4,#NULL!,1,1,1,#NULL!,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,#NULL!
LE24915,"Monday, October 26, 2015",3,3,1,1,#NULL!,4,4,#NULL!,1,1,2,#NULL!,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1
LE24919,"Monday, October 26, 2015",3,3,4,1,1.00,5,1,1.00,1,2,2,24,#NULL!,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,5,2
LE24934,"Monday, October 26, 2015",3,3,4,1,#NULL!,99,1,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,#NULL!
LE24958,"Monday, October 26, 2015",3,2,4,1,5.00,2,1,5.00,9,#NULL!,2,40,#NULL!,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,10
LE24961,"Monday, October 26, 2015",3,3,5,2,#NULL!,1,1,#NULL!,1,#NULL!,#NULL!,15,#NULL!,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,10
LE24965,"Monday, October 26, 2015",3,1,1,1,5.00,2,3,#NULL!,2,1,1,4,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5
LE24967,"Monday, October 26, 2015",3,2,4,1,#NULL!,2,1,3.50,1,2,1,12,#NULL!,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,#NULL!
LE24968,"Monday, October 26, 2015",3,2,4,1,10.00,2,1,3.00,1,2,2,12,#NULL!,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,#NULL!
LE24970,"Monday, October 26, 2015",3,1,1,1,#NULL!,2,1,#NULL!,10,#NULL!,1,15,#NULL!,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,11
LE24971,"Monday, October 26, 2015",3,2,5,1,1.00,2,1,5.00,3,2,#NULL!,4,#NULL!,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2
LE24973,"Monday, October 26, 2015",3,2,4,1,9.00,2,1,2.00,7,#NULL!,#NULL!,10,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2
LE24975,"Monday, October 26, 2015",3,1,1,1,1.00,2,1,10.00,#NULL!,#NULL!,1,40,#NULL!,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6
LE24977,"Monday, October 26, 2015",3,1,1,1,8.00,2,#NULL!,#NULL!,1,2,2,#NULL!,#NULL!,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5
LE24981,"Monday, October 26, 2015",3,1,1,1,1.00,2,1,2.00,1,1,1,44,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,11
LE25109,"Monday, October 26, 2015",2,2,2,2,#NULL!,3,2,#NULL!,1,2,3,5,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11
LE25112,"Monday, October 26, 2015",2,1,1,1,1.50,2,3,#NULL!,3,2,1,20,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,6
LE25113,"Monday, October 26, 2015",2,3,1,99,#NULL!,3,1,#NULL!,2,2,1,#NULL!,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
LE25114,"Monday, October 26, 2015",2,1,1,1,#NULL!,2,1,4.00,1,1,#NULL!,40,#NULL!,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3
LE25116,"Monday, October 26, 2015",2,1,1,1,7.50,2,1,5.00,1,1,#NULL!,65,25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,11
LE25117,"Monday, October 26, 2015",2,1,1,1,6.00,2,4,#NULL!,1,2,1,25,#NULL!,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,9
LE25118,"Monday, October 26, 2015",2,3,1,1,4.00,99,1,4.00,3,2,1,24,#NULL!,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,#NULL!
LE25120,"Monday, October 26, 2015",2,3,1,1,#NULL!,1,3,#NULL!,#NULL!,#NULL!,1,2,#NULL!,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5
LE25170,"Monday, October 26, 2015",2,1,1,1,2.00,2,3,#NULL!,1,2,1,20,#NULL!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,#NULL!
LE25171,"Monday, October 26, 2015",2,1,1,1,6.00,2,1,5.00,1,2,1,40,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11
LE25179,"Monday, October 26, 2015",2,3,1,1,10.00,99,1,#NULL!,3,2,1,10,15,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,11
LE25180,"Monday, October 26, 2015",2,2,3,1,#NULL!,2,99,#NULL!,5,1,1,75,60,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9
LE25181,"Monday, October 26, 2015",2,3,3,1,#NULL!,99,1,#NULL!,7,3,1,2,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,11
LE25185,"Monday, October 26, 2015",2,3,3,1,0.00,99,1,4.00,7,3,#NULL!,#NULL!,#NULL!,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11
LE25188,"Monday, October 26, 2015",2,3,1,2,#NULL!,4,2,#NULL!,1,1,1,45,#NULL!,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,9
LE25189,"Monday, October 26, 2015",2,2,2,1,10.00,4,1,9.00,3,2,5,48,70,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2
LE25191,"Monday, October 26, 2015",2,3,1,99,#NULL!,1,1,0.00,1,1,1,#NULL!,#NULL!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,9
LE25193,"Monday, October 26, 2015",2,3,1,1,2.00,99,1,1.00,1,1,1,60,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7
LE25238,"Monday, November 2, 2015",2,2,3,1,#NULL!,2,2,#NULL!,1,1,#NULL!,1,#NULL!,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
LE25239,"Monday, November 2, 2015",2,3,3,1,#NULL!,1,99,#NULL!,3,2,1,2,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
LE25240,"Monday, November 2, 2015",2,2,3,2,#NULL!,2,2,#NULL!,7,#NULL!,#NULL!,1,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,11
LE25241,"Monday, November 2, 2015",2,2,2,1,233.00,99,1,0.00,1,#NULL!,2,#NULL!,#NULL!,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,#NULL!
LE25293,"Monday, November 2, 2015",2,1,1,1,1.00,2,1,4.00,1,1,1,40,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8
LE25295,"Monday, November 2, 2015",2,3,1,1,1.00,99,1,#NULL!,1,1,1,2,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,9
